Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
1,Arlanda U,Digital,	434.91250,	432.91250,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.6193,17.9865,Yes
2,Botkyrka 2 U,Digital,	434.87500,	432.87500,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.2507,17.879,Yes
3,Brottby 2 U,Analogue,	434.80000,	432.80000,12.5,,,,,,,,77.0,77.0,Disabled,Master,No,No,No,120,Off,No,No,None,59.4522,17.9731,Yes
4,Dalaro U,Digital,	434.83750,	432.83750,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.1353,18.4106,Yes
5,Djuro U,Digital,	434.58750,	432.58750,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.2996,18.673,Yes
6,Haninge 1 VS,Analogue,	145.60000,	145.00000,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,120,Off,No,No,None,0,0,Yes
7,Haninge 2 U,Analogue,	434.75000,	432.75000,12.5,,,,,,,,77.0,77.0,Disabled,Master,No,No,No,120,Off,No,No,None,59.1704,18.1663,Yes
8,Haninge 3 U,Analogue,	434.77500,	432.77500,12.5,,,,,,,,77.0,77.0,Disabled,Master,No,No,No,120,Off,No,No,None,59.17,18.1694,Yes
9,Haninge 4 U,Digital,	434.63750,	432.63750,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.17,18.1694,Yes
10,Haninge 5 U,Digital,	434.56250,	432.56250,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.1704,18.1663,Yes
11,Hogdalen V,Digital,	145.57500,	144.97500,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.249,18.0719,Yes
12,Ingaro 2 VSE,Analogue,	145.77500,	145.17500,12.5,,,,,,,,77.0,77.0,Disabled,Master,No,No,No,120,Off,No,No,None,59.2602,18.5297,Yes
13,Johanneshov U,Digital,	434.92500,	432.92500,,0,2,None,Default,None,Text,Text,,,,Master,No,No,No,120,Off,No,No,None,59.2942,18.073,Yes
